RowKey,Ticker,Year,Quarter,DataSource,PaidUpCapital,Premium,Reserves,LtLiabilities,TotalFunds,FixedAssets,Depreciation,NetFixedAssets,NonCoreAssets,Investments,WorkInProgress,Cash,Receivables,AdvancesPrepaymentsLoansDeposits,Inventory,TotalCurrentAssets,StLiabilities,DeferredLiabilities,TotalStLiabilities,ApplicationOfFunds,EnergySales,CostOfProduction,GrossProfit,DividendIncome,ForexGainLoss,OtherIncome,AdminExpenses,OperatingProfit,InterestIncomeExpense,Provisions,ProfitBeforeTax,Taxes,Bonus,ProfitAfterTax,EpsAnnualized,BookValuePerShare,Statement,OrdinaryShares,Statement_IncomeStatement,Depreciation_IncomeStatement,EPS,CurrentRatio,NetWorthPerShare,PERatio,Mps,Multiplier,Dividend,BonusD,Cash_IncomeStatement,AdditionalInfo,TotalRevenue,GrowthOverPriorPeriod,GrossProfitMargin,NetIncome,NetIncomeMargin,ReturnOnAsset,ReturnOnEquity,ReportedPeAnnualized,DividendPerShare,QuarterEndPrice
BARUN|2021/22|1|Published,BARUN,2021/22,1,Published,267907.5,0.0,14989.392,216509.415,499406.307,0.0,0.0,450929.409,0.0,946.0,0.0,305.538,43089.753,23043.935,0.0,66439.226,18908.328,0.0,18908.328,499406.307,32449.308,8947.044,23502.264,0.0,0.0,0.0,3628.614,19873.65,-4034.64,0.0,11071.844,1107.184,0.0,9964.66,14.877761914093485,105.59498782228941,,,,4767.166,,,,,,,,,,,,,,,,,,,,414.0
BARUN|2020/21|4|Audited,BARUN,2020/21,4,Audited,267907.5,0.0,5024.732,220286.808,493219.04,653930.633,198426.306,455504.327,0.0,946.0,0.0,2628.541,11443.21,41198.102,0.0,55269.853,18501.14,0.0,18501.14,493219.04,59758.726,11719.466,48039.26,0.0,0.0,0.0,5120.282,42918.978,-21287.504,22.534,2540.276,258.155,51.256,2230.865,0.8326997191194722,101.87554734376606,,,,19068.664,,,,,,,,,,,,,,,,,,,,531.0
BARUN|2020/21|4|Published,BARUN,2020/21,4,Published,267907.5,0.0,5024.732,220286.808,493219.04,0.0,0.0,455504.327,0.0,946.0,0.0,2628.541,11443.21,41198.102,0.0,55269.853,18501.14,0.0,18501.14,493219.04,59758.726,11719.466,48039.26,0.0,0.0,0.0,5120.282,42918.978,-21287.504,22.534,2540.276,258.155,51.256,2230.865,0.8326997191194722,101.87554734376606,,,,19068.664,,,,,,,,,,,,,,,,,,,,531.0
BARUN|2020/21|3|Published,BARUN,2020/21,3,Published,267907.5,0.0,8066.026,228525.309,504498.835,0.0,0.0,457821.108,0.0,1946.0,0.0,3693.387,35084.755,21402.157,0.0,60180.299,15448.572,0.0,15448.572,504498.835,45822.136,5731.752,40090.384,0.0,0.0,0.0,5327.452,34762.932,-15090.773,0.0,5272.159,0.0,0.0,5272.159,2.623870303494054,103.01075035226712,,,,14400.0,,,,,,,,,,,,,,,,,,,,248.0
BARUN|2020/21|2|Published,BARUN,2020/21,2,Published,267907.5,0.0,11587.347,230308.358,509803.205,0.0,0.0,462542.108,0.0,946.0,0.0,260.546,41472.464,21528.087,0.0,63261.097,16946.0,0.0,16946.0,509803.205,35831.198,3834.256,31996.942,0.0,0.0,0.0,2345.596,29651.346,-11257.866,0.0,8793.48,0.0,0.0,8793.48,6.564564261918759,104.32512975560596,,,,9600.0,,,,,,,,,,,,,,,,,,,,199.0
BARUN|2020/21|1|Published,BARUN,2020/21,1,Published,255150.0,0.0,17838.513,233990.758,506979.271,0.0,0.0,467342.108,0.0,946.0,0.0,4674.159,30463.7,20221.086,0.0,55358.945,16667.783,0.0,16667.783,506979.27,18990.598,2661.401,16329.197,0.0,0.0,0.0,2827.789,13501.408,-7085.709,0.0,1615.699,0.0,0.0,1615.699,2.5329398393102096,106.99138271604937,,,,4800.0,,,,,,,,,,,,,,,,,,,,178.0
BARUN|2019/20|4|Audited,BARUN,2019/20,4,Audited,255150.0,0.0,16222.815,240455.728,511828.543,651489.751,179357.642,472132.109,0.0,946.0,0.0,4429.227,15423.983,40368.441,0.0,60221.651,21471.217,0.0,21471.217,511828.543,85004.43,8106.421,76898.009,0.0,0.0,162.336,21463.461,55596.884,-30139.537,64.148,6481.609,0.0,130.915,6350.694,2.489004115226338,106.35814814814815,,,,18911.59,,,,,,,,,,,,,,,,,,,,84.0
BARUN|2019/20|4|Published,BARUN,2019/20,4,Published,255150.0,0.0,16222.815,240455.727,511828.542,0.0,0.0,472132.109,0.0,946.0,0.0,4429.227,15423.983,40368.441,0.0,60221.651,21471.217,0.0,21471.217,511828.543,85004.43,8106.421,76898.009,0.0,0.0,162.336,21463.461,55596.884,-30139.537,0.0,6545.757,64.148,130.915,6350.694,2.489004115226338,106.35814814814815,,,,18911.59,,,,,,,,,,,,,,,,,,,,84.0
BARUN|2019/20|3|Published,BARUN,2019/20,3,Published,255150.0,0.0,11701.903,269600.713,536452.616,0.0,0.0,476643.698,0.0,946.0,0.0,6389.218,46259.245,21326.264,0.0,73974.727,15111.81,0.0,15111.81,536452.615,65586.1,5213.338,60372.762,0.0,0.0,0.0,13458.374,46914.388,-20812.485,0.0,11701.903,0.0,0.0,11701.903,6.1150450062055,104.58628375465412,,,,14400.0,,,,,,,,,,,,,,,,,,,,85.0
BARUN|2019/20|2|Published,BARUN,2019/20,2,Published,255150.0,0.0,32411.73,252678.948,540240.678,0.0,0.0,480567.902,0.0,946.0,0.0,103.603,56012.887,21167.654,0.0,77284.144,18557.367,0.0,18557.367,540240.679,53909.479,5069.642,48839.837,0.0,0.0,0.0,2556.921,46282.916,-14143.307,0.0,22539.609,0.0,0.0,22539.609,17.66773192239859,112.7030099941211,,,,9600.0,,,,,,,,,,,,,,,,,,,,89.0
BARUN|2019/20|1|Published,BARUN,2019/20,1,Published,255150.0,0.0,25685.9132,265347.0079,546182.9211,0.0,0.0,485173.0886,0.0,946.0,0.0,172.5427,55775.01235,21042.32381,0.0,76989.87886,16926.0464,0.0,16926.0464,546182.9211,32479.216,2897.143,29582.073,0.0,0.0,0.0,1345.176,28236.897,-7623.104,0.0,15813.793,0.0,0.0,15813.793,24.79136664707035,110.06698538114834,,,,4800.0,,,,,,,,,,,,,,,,,,,,88.0
