PlantId,PlantName,Cap_kW,District,Province,lat,lon,precision,source,matched_to
170,Nilgiri Khola ,38000.0,Myagdi,Gandaki,28.578712,83.692359,plus,"Google Maps HMHR+FWQ, Narchyang 33200",
171,Chepe A HEP,7000.0,Gorkha,Gandaki,28.1247,84.5558,river,"on Chepe Khola, nearest Gorkha",Chepe Khola
172,Dudhkunda Khola HEP,12000.0,Solukhumbu,Province 1,27.3929,86.6303,river,"on Solu Khola, nearest Solukhumbu",Solu Khola
173,Upper Chirkhuwa Khola,4700.0,Bhojpur,Province 1,27.370188,87.106062,plus,"Google Maps 94C4+3C, Shadananda 57000",
174,Gelun Khola HPP,3200.0,Sindhupalchok,Bagmati,27.8401,85.7985,river,"on Gelun Khola, nearest Sindhupalchok",Gelun Khola
175,Seti Khola HPP,3500.0,Parbat,Gandaki,28.0225,83.618611,plus,cited: author-supplied coordinates,
176,Seti Nadi hpp,25000.0,Kaski,Gandaki,28.1273,84.0854,river,"on Seti Nadi, nearest Kaski",Seti Nadi
177,Upper Richet Khola SHP,2000.0,Gorkha,Gandaki,28.000013,84.316672,plus,"Google Maps 2828+2M3, Yarsa 44900",
178,Super Kabeli Khola A HEP,13500.0,Taplejung,Province 1,27.2914,87.6958,river,"on Kabeli, nearest Taplejung",Kabeli
179,Sanjen,42500.0,Rashuwa,Bagmati,28.217937,85.284312,plus,"Google Maps 679M+5P, Chilime",
180,Rasuwagadhi HPP,111000.0,Rashuwa,Bagmati,28.1644,85.3413,river,"on Bhote Koshi, nearest Rashuwa",Bhote Koshi
181,Sanjen Khola HPP,78000.0,,Province 1,,,none,,
182,Lankhuwa Khola HPP,5000.0,Sankhuwasabha,Province 1,27.290312,87.193938,plus,"Google Maps 75RV+4H, Heel 33300",
183,Super Kabeli Khola HPP,12000.0,Taplejung,Province 1,27.3697,87.8548,river,"on Kabeli, nearest Taplejung",Kabeli
184,Bhim Khola Small HPP,4960.0,Baglung,Gandaki,28.289861,83.240556,plus,cited: author-supplied decimal coordinates,
185,Super Hewa HPP,6000.0,Sankhuwasabha,Province 1,27.359722,87.389861,plus,cited: midpoint of author-supplied coordinate range,
186,Upper Lohore SHP,4000.0,Dailekh,Karnali,28.944722,81.807361,plus,cited: midpoint of author-supplied coordinate range,
