S.N,Year Month,Metered Energy,Energy to R.E. (Local distribution),Internal Consumption,Total Energy Generation,Backfeed Energy From NEA,Backfeed Amount,Rate to NEA,R.E Rate (NRS),Invoice to NEA(NRS),Amount paid by NEA (NRs),Amount Deducted,Revenue From R.E (NRs) Local Distribution,Previous Due Royalty Chargeable Rs,Royalty Amount,col,PlantId,FiscalId,Plant,FiscalYear,Additional Energy,Transmission Loss,Seasional Rate,Billed Amount to NEA,Amount paid by NEA Rs,Late COD & Other Fine Rs,Short Supply,Remarks,Seasional Rate (USD),Exchange Rate,Invoice to NEA(USD),Amount paid by NEA (USD)
10,2080/12,4291100.00,,,4291100.00,120.00,1296.00,,,,,,,38190790.00,763815.8,,120,17,"Lower Modi Khola , 20000 kW",080/81,,,8.90,,38189494.00,,,,,,,
11,2081/1,6829290.00,,,6829290.00,90.00,972.00,,,,,,,34761086.10,695221.72,,120,17,"Lower Modi Khola , 20000 kW",080/81,,,5.09,,34760114.10,,,,,,,
12,2081/2,10887280.00,,,10887280.00,470.00,5076.00,,,,,,,55416255.20,1108325.1,,120,17,"Lower Modi Khola , 20000 kW",080/81,,,5.09,,55411179.20,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,7884405.09,,120,17,"Lower Modi Khola , 20000 kW",080/81,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,2000000.0,,120,17,"Lower Modi Khola , 20000 kW",080/81,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,12168052.38,,120,17,"Lower Modi Khola , 20000 kW",080/81,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,3112318.94,,120,17,"Lower Modi Khola , 20000 kW",080/81,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2078/3,0.00,,,,,,,,,,,,,,,120,15,"Lower Modi Khola , 20000 kW",078/79,,,,,,,,,,,,
2,2078/6,6088990.00,,,6088990.00,2480.00,26784.00,,,,,,,29227152.00,584543.04,,120,15,"Lower Modi Khola , 20000 kW",078/79,,,4.80,29225640.00,29200368.00,,,,,,,
3,2078/7,5874340.00,,,5874340.00,130.00,1404.00,,,,,,,28196832.00,563936.64,,120,15,"Lower Modi Khola , 20000 kW",078/79,,,4.80,28195428.00,28195428.00,,,,,,,
4,2078/8,6319290.00,,,6319290.00,50.00,540.00,,,,,,,30332592.00,606651.84,,120,15,"Lower Modi Khola , 20000 kW",078/79,,,4.80,30332052.00,30332052.00,,,,,,,
5,2078/9,5690308.00,,,5690308.00,30.00,324.00,,,,,,,47798587.20,955971.74,,120,15,"Lower Modi Khola , 20000 kW",078/79,,,8.40,47798263.20,47798263.20,,,,,,,
6,2078/10,4406631.00,,,4406631.00,70.00,756.00,,,,,,,37015700.40,740314.01,,120,15,"Lower Modi Khola , 20000 kW",078/79,,,,,37014944.40,,,,,,,
7,2078/11,4541064.00,,,4541064.00,70.00,756.00,,,,,,,38144937.60,762898.75,,120,15,"Lower Modi Khola , 20000 kW",078/79,,,,,38144181.60,,,,,,,
8,2078/12,5087074.00,,,6867549.90,40.00,432.00,,,,,,,50209420.38,1004188.41,,120,15,"Lower Modi Khola , 20000 kW",078/79,1780475.90,,,,50208988.38,,,,,,,
9,2079/1,7242770.00,,,7242770.00,170.00,1836.00,,,,,,,34765296.00,695305.92,,120,15,"Lower Modi Khola , 20000 kW",078/79,,,,,34763460.00,,,,,,,
10,2079/2,6151390.00,,,6151390.00,290.00,3132.00,,,,,,,29526672.00,590533.44,,120,15,"Lower Modi Khola , 20000 kW",078/79,,,4.80,,29523540.00,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,6504343.79,,120,15,"Lower Modi Khola , 20000 kW",078/79,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,2000000.0,,120,15,"Lower Modi Khola , 20000 kW",078/79,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,5913153.71,,120,15,"Lower Modi Khola , 20000 kW",078/79,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,2591190.08,,120,15,"Lower Modi Khola , 20000 kW",078/79,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2082/3,8919830.00,,,8919830.00,420.00,4536.00,,,,,,,46650710.90,933014.22,,120,19,"Lower Modi Khola , 20000 kW",082/83,,,5.23,,46646174.90,,,,,,,
2,2082/4,6692740.00,,,6692740.00,1680.00,18144.00,,,,,,,35003030.20,700060.6,,120,19,"Lower Modi Khola , 20000 kW",082/83,,,5.23,,34984886.20,,,,,,,
3,2082/5,7149080.00,,,7149080.00,310.00,3348.00,,,,,,,37389688.40,747793.77,,120,19,"Lower Modi Khola , 20000 kW",082/83,,,5.23,,37386340.40,,,,,,,
4,2082/6,6926340.00,,,6926340.00,570.00,6156.00,,,,,,,36224758.20,724495.16,,120,19,"Lower Modi Khola , 20000 kW",082/83,,,5.23,,36218602.20,,,,,,,
5,2082/7,4710670.00,,,4710670.00,3330.00,35964.00,,,,,,,25343404.60,506868.09,,120,19,"Lower Modi Khola , 20000 kW",082/83,,,5.23,,25307440.60,,,,,,,
6,2082/8,6685450.00,,,6685450.00,750.00,8100.00,,,,,,,35967721.00,719354.42,,120,19,"Lower Modi Khola , 20000 kW",082/83,,,5.38,,35959621.00,,,,,,,
7,2082/9,5411150.00,,,5411150.00,100.00,1080.00,,,,,,,50918921.50,1018378.43,,120,19,"Lower Modi Khola , 20000 kW",082/83,,,9.41,,50917841.50,,,,,,,
8,2082/10,3968890.00,,,3968890.00,65.00,702.00,,,,,,,37347254.90,746945.1,,120,19,"Lower Modi Khola , 20000 kW",082/83,,,9.41,,37346552.90,,,,,,,
9,2082/11,4414650.00,,,4414650.00,60.00,648.00,,,,,,,41541856.50,830837.13,,120,19,"Lower Modi Khola , 20000 kW",082/83,,,9.41,,41541208.50,,,,,,,
10,2082/12,5045925.00,,,5045925.00,150.00,1620.00,,,,,,,47482154.25,949643.09,,120,19,"Lower Modi Khola , 20000 kW",082/83,,,9.41,,47480534.25,,,,,,,
11,2083/1,3274425.00,,,3274425.00,31020.00,335016.00,,,,,,,17616406.50,352328.13,,120,19,"Lower Modi Khola , 20000 kW",082/83,,,5.38,,17281390.50,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,8229718.14,,120,19,"Lower Modi Khola , 20000 kW",082/83,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,0.0,,120,19,"Lower Modi Khola , 20000 kW",082/83,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,9842111.34,,120,19,"Lower Modi Khola , 20000 kW",082/83,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,-1612393.2,,120,19,"Lower Modi Khola , 20000 kW",082/83,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2078/3,,,,0.00,4580.00,49464.00,,,,,,,22357150.00,447143.0,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,,,4.96,,22307686.00,,,,,,,
2,2078/4,,,,0.00,220.00,2376.00,,,,,,,33476494.00,669529.88,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,,,5.08,28313188.40,33474118.00,,,,,,,
3,2078/5,2249300.00,,,2249300.00,1510.00,16308.00,,,,,,,16308.00,326.16,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,,,,,0.00,,,,,,,
4,2078/6,0.00,,,0.00,15170.00,163836.00,,,,,,,163836.00,3276.72,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,,,,,0.00,,,,,,,
5,2078/7,4381830.00,,,4381830.00,3520.00,38016.00,,,,,,,22259696.40,445193.93,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,,,,,22221680.40,,,,,,,
6,2078/8,4048420.00,,,4048420.00,40.00,432.00,,,,,,,20565973.60,411319.47,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,,,,,20565541.60,,,,,,,
7,2078/9,3095180.00,,,3149660.00,200.00,2160.00,,,,,,,27758041.40,555160.83,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,54480.00,,,,27755881.40,,,,,,,
8,2078/10,2385184.00,,,2385184.00,260.00,2808.00,,,,,,,21204285.76,424085.72,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,,,,,21201477.76,,,,,,,
9,2078/11,2449236.00,,,2449236.00,70.00,756.00,,,,,,,23404897.44,468097.95,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,,,,,23404141.44,,,,,,,
10,2078/12,2614923.87,,,2614923.87,130.00,1404.00,,,,,,,26033137.86,520662.76,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,,,,,26031733.86,,,,,,,
11,2078/13,0.00,,,,0.00,0.00,,,,,,,,174434.96,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,0.00,,,,8721748.22,,,Adjustment for short supply,,,,
12,2079/1,3513430.00,,,3513430.00,1070.00,11556.00,,,,,,,17848224.40,356964.49,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,,,,,17836668.40,,,,,,,
13,2079/2,5072860.00,,,5072860.00,350.00,3780.00,,,,,,,25770128.80,515402.58,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,,,,,25766348.80,,,,,,,
14,2079/13,,,,,,,,,,,,,,-1176976.83,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,,,,,,,,Adjusted as per DOED Decision Dated 2078/06/24,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,3814621.62,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,1020000.0,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,10145494.75,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,2406543.87,,39,15,"Lower Modi-1 HP , 10200 kW",078/79,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2081/3,4409480.00,,,4409480.00,3500.00,37800.00,,,,,,,22400158.40,448003.17,,39,18,"Lower Modi-1 HP , 10200 kW",081/82,,,5.08,,22362358.40,,,,,,,
2,2081/4,6465990.00,,,6465990.00,210.00,2268.00,,,,,,,32847229.20,656944.58,,39,18,"Lower Modi-1 HP , 10200 kW",081/82,,,5.08,,32844961.20,,,,,,,
3,2081/5,6552700.00,,,6552700.00,80.00,864.00,,,,,,,33287716.00,665754.32,,39,18,"Lower Modi-1 HP , 10200 kW",081/82,,,5.08,,33286852.00,,,,,,,
4,2081/6,6227870.00,,,6227870.00,170.00,1836.00,,,,,,,31637579.60,632751.59,,39,18,"Lower Modi-1 HP , 10200 kW",081/82,,,5.08,,31635743.60,,,,,,,
5,2081/7,5713750.00,,,5713750.00,130.00,1404.00,,,,,,,29024326.00,580486.52,,39,18,"Lower Modi-1 HP , 10200 kW",081/82,,,5.08,,29022922.00,,,,,,,
6,2081/8,3740100.00,,,3740100.00,220.00,2376.00,,,,,,,18999708.00,379994.16,,39,18,"Lower Modi-1 HP , 10200 kW",081/82,,,5.08,,18997332.00,,,,,,,
7,2081/9,2454190.00,,,2454190.00,140.00,1512.00,,,,,,,21817749.10,436354.98,,39,18,"Lower Modi-1 HP , 10200 kW",081/82,,,8.89,,21816237.10,,,,,,,
8,2081/10,1975500.00,,,1975500.00,290.00,3132.00,,,,,,,17562195.00,351243.9,,39,18,"Lower Modi-1 HP , 10200 kW",081/82,,,8.89,,17559063.00,,,,,,,
9,2081/11,1183910.00,,,1183910.00,5500.00,59400.00,,,,,,,10524959.90,210499.2,,39,18,"Lower Modi-1 HP , 10200 kW",081/82,,,8.89,,10465559.90,,,,,,,
10,2081/12,2515250.00,,,2515250.00,130.00,1404.00,,,,,,,22360572.50,447211.45,,39,18,"Lower Modi-1 HP , 10200 kW",081/82,,,8.89,,22359168.50,,,,,,,
11,2082/1,2967690.00,,,2967690.00,210.00,2268.00,,,,,,,15075865.20,301517.3,,39,18,"Lower Modi-1 HP , 10200 kW",081/82,,,5.08,,15073597.20,,,,,,,
12,2082/2,4248000.00,,,4248000.00,1510.00,16308.00,,,,,,,21579840.00,431596.8,,39,18,"Lower Modi-1 HP , 10200 kW",081/82,,,5.08,,21563532.00,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,5542357.97,,39,18,"Lower Modi-1 HP , 10200 kW",081/82,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,1020000.0,,39,18,"Lower Modi-1 HP , 10200 kW",081/82,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,8732917.32,,39,18,"Lower Modi-1 HP , 10200 kW",081/82,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,1390824.75,,39,18,"Lower Modi-1 HP , 10200 kW",081/82,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2080/3,6120200.00,,,6120200.00,660.00,7128.00,,,,,,,31090616.00,621812.32,,39,17,"Lower Modi-1 HP , 10200 kW",080/81,,,5.08,,31083488.00,,,,,,,
2,2080/4,6364000.00,,,6416270.00,470.00,5076.00,,,,,,,32461885.80,649237.72,,39,17,"Lower Modi-1 HP , 10200 kW",080/81,52270.00,,5.08,,32456809.80,,,,,,,
3,2080/5,6160280.00,,,6160280.00,100.00,1080.00,,,,,,,31294222.40,625884.45,,39,17,"Lower Modi-1 HP , 10200 kW",080/81,,,5.08,,31293142.40,,,,,,,
4,2080/6,5774440.00,,,5774440.00,710.00,7668.00,,,,,,,29334155.20,586683.1,,39,17,"Lower Modi-1 HP , 10200 kW",080/81,,,5.08,,29326487.20,,,,,,,
5,2080/7,5365990.00,,,5365990.00,110.00,1188.00,,,,,,,27259229.20,545184.58,,39,17,"Lower Modi-1 HP , 10200 kW",080/81,,,5.08,,27258041.20,,,,,,,
6,2080/8,3689730.00,,,3689730.00,60.00,648.00,,,,,,,18743828.40,374876.57,,39,17,"Lower Modi-1 HP , 10200 kW",080/81,,,5.08,,18743180.40,,,,,,,
7,2080/9,2705860.00,,,2705860.00,710.00,7668.00,,,,,,,24055095.40,481101.91,,39,17,"Lower Modi-1 HP , 10200 kW",080/81,,,8.89,,24047427.40,,,,,,,
8,2080/10,2095290.00,,,2095290.00,160.00,1728.00,,,,,,,18627128.10,372542.56,,39,17,"Lower Modi-1 HP , 10200 kW",080/81,,,8.89,,18625400.10,,,,,,,
9,2080/11,1829190.00,,,1829190.00,90.00,972.00,,,,,,,16261499.10,325229.98,,39,17,"Lower Modi-1 HP , 10200 kW",080/81,,,8.89,,16260527.10,,,,,,,
10,2080/12,2309930.00,,,2309930.00,90.00,972.00,,,,,,,20535277.70,410705.55,,39,17,"Lower Modi-1 HP , 10200 kW",080/81,,,8.89,,20534305.70,,,,,,,
11,2081/1,3372450.00,,,3372450.00,40.00,432.00,,,,,,,17132046.00,342640.92,,39,17,"Lower Modi-1 HP , 10200 kW",080/81,,,5.08,,17131614.00,,,,,,,
12,2081/2,4829780.00,,,4829780.00,1150.00,12420.00,,,,,,,24535282.40,490705.65,,39,17,"Lower Modi-1 HP , 10200 kW",080/81,,,5.08,,24522862.40,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,5826605.31,,39,17,"Lower Modi-1 HP , 10200 kW",080/81,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,1020000.0,,39,17,"Lower Modi-1 HP , 10200 kW",080/81,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,5067458.9,,39,17,"Lower Modi-1 HP , 10200 kW",080/81,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,3561384.1,,39,17,"Lower Modi-1 HP , 10200 kW",080/81,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2082/3,5504710.00,,,5504710.00,690.00,7452.00,,,,,,,27963926.80,559278.54,,39,19,"Lower Modi-1 HP , 10200 kW",082/83,,,5.08,,27956474.80,,,,,,,
2,2082/4,5599910.00,,,5599910.00,1610.00,17388.00,,,,,,,28447542.80,568950.86,,39,19,"Lower Modi-1 HP , 10200 kW",082/83,,,5.08,,28430154.80,,,,,,,
3,2082/5,4613090.00,,,4613090.00,820.00,8856.00,,,,,,,23434497.20,468689.94,,39,19,"Lower Modi-1 HP , 10200 kW",082/83,,,5.08,,23425641.20,,,,,,,
4,2082/6,4798720.00,,,4798720.00,820.00,15876.00,,,,,,,24377497.60,487549.95,,39,19,"Lower Modi-1 HP , 10200 kW",082/83,,,5.08,,24361621.60,,,,,,,
5,2082/7,5517410.00,,,5517410.00,50.00,540.00,,,,,,,28028442.80,560568.86,,39,19,"Lower Modi-1 HP , 10200 kW",082/83,,,5.08,,28027902.80,,,,,,,
6,2082/8,3926410.00,,,3926410.00,30.00,324.00,,,,,,,19946162.80,398923.26,,39,19,"Lower Modi-1 HP , 10200 kW",082/83,,,5.08,,19945838.80,,,,,,,
7,2082/9,2953940.00,,,2953940.00,330.00,3564.00,,,,,,,26260526.60,525210.53,,39,19,"Lower Modi-1 HP , 10200 kW",082/83,,,8.89,,26256962.60,,,,,,,
8,2082/10,2271060.00,,,2271060.00,30.00,324.00,,,,,,,20189723.40,403794.47,,39,19,"Lower Modi-1 HP , 10200 kW",082/83,,,8.89,,20189399.40,,,,,,,
9,2082/12,2614923.87,,,2614923.87,230.00,2484.00,,,,,,,23246673.21,464933.46,,39,19,"Lower Modi-1 HP , 10200 kW",082/83,,,8.89,,23244189.21,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,4437899.87,,39,19,"Lower Modi-1 HP , 10200 kW",082/83,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,0.0,,39,19,"Lower Modi-1 HP , 10200 kW",082/83,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,6383791.15,,39,19,"Lower Modi-1 HP , 10200 kW",082/83,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,-1945891.28,,39,19,"Lower Modi-1 HP , 10200 kW",082/83,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2079/3,5782280.00,,,5782280.00,630.00,6804.00,,,,,,,29373982.40,587479.65,,39,16,"Lower Modi-1 HP , 10200 kW",079/80,,,5.08,,29367178.40,,,,,,,
2,2079/4,5825750.00,,,5825750.00,880.00,9504.00,,,,,,,29594810.00,591896.2,,39,16,"Lower Modi-1 HP , 10200 kW",079/80,,,5.08,,29585306.00,,,,,,,
3,2079/5,5870510.00,,,5870510.00,650.00,7020.00,,,,,,,29822190.80,596443.82,,39,16,"Lower Modi-1 HP , 10200 kW",079/80,,,5.08,,29815170.80,,,,,,,
4,2079/6,5996780.00,,,5996780.00,1220.00,13176.00,,,,,,,30463642.40,609272.85,,39,16,"Lower Modi-1 HP , 10200 kW",079/80,,,5.08,,30450466.40,,,,,,,
5,2079/7,5521320.00,,,5521320.00,150.00,1620.00,,,,,,,28048305.60,560966.11,,39,16,"Lower Modi-1 HP , 10200 kW",079/80,,,5.08,,28046685.60,,,,,,,
6,2079/8,3949800.00,,,3949800.00,160.00,1728.00,,,,,,,20064984.00,401299.68,,39,16,"Lower Modi-1 HP , 10200 kW",079/80,,,5.08,,20063256.00,,,,,,,
7,2079/9,3132830.00,,,3132830.00,320.00,3456.00,,,,,,,27850858.70,557017.17,,39,16,"Lower Modi-1 HP , 10200 kW",079/80,,,8.89,,27847402.70,,,,,,,
8,2079/10,2142240.00,,,2142240.00,470.00,5076.00,,,,,,,19044513.60,380890.27,,39,16,"Lower Modi-1 HP , 10200 kW",079/80,,,8.89,,19039437.60,,,,,,,
9,2079/11,2164410.00,,,2164410.00,70.00,756.00,,,,,,,19241604.90,384832.1,,39,16,"Lower Modi-1 HP , 10200 kW",079/80,,,8.89,,19240848.90,,,,,,,
10,2079/12,2114280.00,,,2114280.00,430.00,4644.00,,,,,,,18795949.20,375918.98,,39,16,"Lower Modi-1 HP , 10200 kW",079/80,,,8.89,,18791305.20,,,,,,,
11,2080/1,2901810.00,,,2901810.00,150.00,1620.00,,,,,,,14741194.80,294823.9,,39,16,"Lower Modi-1 HP , 10200 kW",079/80,,,5.08,,14739574.80,,,,,,,
12,2080/2,5130380.00,,,5130380.00,230.00,2484.00,,,,,,,26062330.40,521246.61,,39,16,"Lower Modi-1 HP , 10200 kW",079/80,,,5.08,,26059846.40,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,5862087.34,,39,16,"Lower Modi-1 HP , 10200 kW",079/80,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,1020000.0,,39,16,"Lower Modi-1 HP , 10200 kW",079/80,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,7506393.52,,39,16,"Lower Modi-1 HP , 10200 kW",079/80,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,1782237.69,,39,16,"Lower Modi-1 HP , 10200 kW",079/80,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2077/3,5472150.00,,,5508360.00,1290.00,13932.00,,,,,,,26485206.00,529704.12,,39,14,"Lower Modi-1 HP , 10200 kW",077/78,,36210.00,4.84,26471274.00,26471274.00,,,,,,,
2,2077/4,5965910.00,,,6003360.00,760.00,8208.00,,,,,,,29590913.60,591818.27,,39,14,"Lower Modi-1 HP , 10200 kW",077/78,,37450.00,4.96,29582705.00,29582705.60,,,,,,,
3,2077/5,6107550.00,,,6150600.00,590.00,6372.00,,,,,,,30293448.00,605868.96,,39,14,"Lower Modi-1 HP , 10200 kW",077/78,,43050.00,4.96,30287076.00,30287076.00,,,,,,,
4,2077/6,5854750.00,,,5899320.00,680.00,7344.00,,,,,,,29039560.00,580791.2,,39,14,"Lower Modi-1 HP , 10200 kW",077/78,,44570.00,4.96,29032216.00,29032216.00,,,,,,,
5,2077/7,5540880.00,,,5583960.00,90.00,972.00,,,,,,,27482764.80,549655.3,,39,14,"Lower Modi-1 HP , 10200 kW",077/78,,43080.00,4.96,27481792.80,27481792.80,,,,,,,
6,2077/8,3477230.00,,,3511080.00,170.00,1836.00,,,,,,,17247060.80,344941.22,,39,14,"Lower Modi-1 HP , 10200 kW",077/78,,33850.00,4.96,17245224.80,17245224.80,,,,,,,
7,2077/9,2600650.00,,,2628360.00,360.00,3888.00,,,,,,,22573642.00,451472.84,,39,14,"Lower Modi-1 HP , 10200 kW",077/78,,27710.00,8.68,22569754.00,22569754.00,,,,,,,
8,2077/10,2104300.00,,,2157840.00,980.00,10584.00,,,,,,,18265324.00,365306.48,,39,14,"Lower Modi-1 HP , 10200 kW",077/78,,53540.00,8.68,18254740.00,18254740.00,,,,,,,
9,2077/11,1774550.00,,,1785420.00,1090.00,11772.00,,,,,,,15403094.00,308061.88,,39,14,"Lower Modi-1 HP , 10200 kW",077/78,,10870.00,8.68,15391322.00,15391322.00,,,,,,,
10,2077/12,2118040.00,,,2126160.00,160.00,1728.00,,,,,,,18384587.20,367691.74,,39,14,"Lower Modi-1 HP , 10200 kW",077/78,,8120.00,8.68,18382859.20,18382859.20,,,,,,,
11,2078/1,2560830.00,,,2566800.00,220.00,2376.00,,,,,,,12408233.60,248164.67,,39,14,"Lower Modi-1 HP , 10200 kW",077/78,,5970.00,4.96,12699340.80,12405857.60,,293483.20,,,,,
12,2078/2,4822260.00,,,4845960.00,530.00,5724.00,,,,,,,23918409.60,478368.19,,39,14,"Lower Modi-1 HP , 10200 kW",077/78,,23700.00,4.96,23912685.60,23912685.60,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,5421844.87,,39,14,"Lower Modi-1 HP , 10200 kW",077/78,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
